index,id,white,black,latino,other,c2nid,c2_net,c1nid,c1f1,c1f2,c1f3,c1f4,c1f5,c1_complete,c2_complete,c3nid,c3f1,c3f2,c3f3,c3f4,c3f5,c3_complete,c4nid,c4f1,c4f2,c4f3,c4f4,c4f5,c4b1,c4b2,c4b3,c4b4,c4b5,c4v1,c4v2,c4v3,c4v4,c4v5,c5v5,c4_complete,c5_complete,c5b1,c5b2,c5b3,c5b4,c5b5,c5v1,c5v2,c5v3,c5v4,male,c1_net,c3_net,c4_net,c5_net,c5nid,c5f1,c5f2,c5f3,c5f4,c5f5,c6nid,c6_net,c6f1,c6f2,c6f3,c6f4,c6f5,c6b1,c6b2,c6b3,c6b4,c6b5,c6v1,c6v2,c6v3,c6v4,c6v5,c6_complete,c7nid,c7_net,c7f1,c7f2,c7f3,c7f4,c7f5,c7b1,c7b2,c7b3,c7b4,c7b5,c7v1,c7v2,c7v3,c7v4,c7v5,c7_complete,race,cohort1,cohort2,cohort3,female,c2f1,c2f2,c2f3,c2f4,c2f5,Race,Sex
0,2664,1.00,0.00,0.00,0.00,3202.00,3.00,5457.00,2654.00,2659.00,,2712.00,,1.00,1.00,1611.00,2651.00,2654.00,,,2659.00,1.00,4688.00,2651.0,8009.00,,,,8008.00,2668.00,2660.00,2662.00,2671.00,,,,,,,1.00,1.00,8008.00,2673.00,2668.00,2660.00,2648.00,,,,,0.00,3.00,3.00,3.00,3.00,2141.00,,2655.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,1.00,2654.00,2659.00,2656.00,2647.00,,1,1
1,2674,1.00,0.00,0.00,0.00,3153.00,3.00,5444.00,2668.00,2672.00,2658.00,2677.00,2660.00,1.00,1.00,1602.00,2682.00,2686.00,2672.00,2658.0,,1.00,4694.00,,,,8008.0,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2175.00,,,,2672.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2668.00,2672.00,2658.00,2661.00,2682.00,1,0
2,2652,1.00,0.00,0.00,0.00,3149.00,3.00,5429.00,2673.00,2656.00,2651.00,,,1.00,1.00,1588.00,2656.00,2659.00,2651.00,2654.0,,1.00,4685.00,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2144.00,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2659.00,2656.00,2680.00,2654.00,,1,0
3,2673,1.00,0.00,0.00,0.00,3201.00,3.00,5478.00,2652.00,,,,,1.00,1.00,1626.00,2672.00,2663.00,2668.00,2661.0,2667.00,1.00,4708.00,2663.0,2672.00,2667.00,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2171.00,2661.00,2663.00,2668.00,2672.00,2657.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2672.00,2667.00,2663.00,3170.00,2696.00,1,0
4,2655,0.00,0.00,0.00,1.00,3166.00,3.00,5480.00,2659.00,2656.00,2650.00,,,1.00,1.00,1628.00,2656.00,2680.00,2651.00,8008.0,2701.00,1.00,4701.00,2656.0,,,,,2646.00,2666.00,,,,,,,,,,1.00,1.00,,,,,,,,,,0.00,3.00,3.00,3.00,3.00,2151.00,2664.00,,2656.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,4.00,1.00,0.00,0.00,1.00,2656.00,,,,,4,1
5,2668,1.00,0.00,0.00,0.00,3188.00,3.00,5422.00,2661.00,2674.00,2672.00,2658.00,2657.00,1.00,1.00,1583.00,2658.00,2672.00,2661.00,2657.0,2663.00,1.00,4690.00,2661.0,2658.00,2672.00,2663.0,2657.00,,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2163.00,2661.00,2673.00,2672.00,2658.00,3089.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2661.00,2674.00,2672.00,2658.00,8008.00,1,0
6,2648,1.00,0.00,0.00,0.00,3155.00,3.00,5414.00,2649.00,2670.00,2666.00,2650.00,2651.00,1.00,1.00,1577.00,,2654.00,2691.00,,,1.00,4710.00,,2666.00,2670.00,,2651.00,,,,,,,,,,,,1.00,1.00,,,,,,,,,,0.00,3.00,3.00,3.00,3.00,2156.00,2654.00,2666.00,2670.00,2667.00,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,0.00,0.00,1.00,2685.00,2691.00,2683.00,8010.00,2651.00,1,1
7,2661,1.00,0.00,0.00,0.00,3178.00,3.00,5490.00,2668.00,2672.00,,,,0.00,1.00,1637.00,2668.00,8011.00,8008.00,2657.0,,1.00,4716.00,2673.0,2663.00,2658.00,2657.0,8008.00,,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2174.00,2673.00,,2668.00,2658.00,3170.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2668.00,2674.00,2657.00,8008.00,2658.00,1,0
8,8008,,,,,3151.00,3.00,,,,,,,0.00,0.00,1606.00,,,,,,0.00,4704.00,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,1.00,,3.00,3.00,3.00,2169.00,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,,1.00,0.00,0.00,0.00,,,,,,unknown,0
9,2672,1.00,0.00,0.00,0.00,3176.00,3.00,5437.00,2658.00,2668.00,2674.00,2661.00,,1.00,1.00,1595.00,2658.00,2668.00,2674.00,2661.0,,1.00,4699.00,2658.0,2668.00,2661.00,3170.0,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,1.00,3.00,3.00,3.00,3.00,2168.00,2658.00,2668.00,9675.00,2661.00,3170.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,1.00,1.00,0.00,0.00,0.00,2658.00,2668.00,2674.00,2661.00,2673.00,1,0
