id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
2664,3,3,3,3,3,unk,unk,1,1,1
2674,3,3,3,3,3,unk,unk,1,1,0
2652,3,3,3,3,3,unk,unk,1,1,0
2673,3,3,3,3,3,unk,unk,1,1,0
2655,3,3,3,3,3,unk,unk,1,4,1
2668,3,3,3,3,3,unk,unk,1,1,0
2648,3,3,3,3,3,unk,unk,1,1,1
2661,3,3,3,3,3,unk,unk,1,1,0
8008,3,unk,3,3,3,unk,unk,1,unk,0
2672,3,3,3,3,3,unk,unk,1,1,0
2662,3,3,3,3,3,unk,unk,1,1,0
2670,3,3,3,3,3,unk,unk,1,1,1
2656,3,3,3,3,3,unk,unk,1,1,1
3089,3,606,3,3,3,unk,unk,1,1,0
2665,3,3,3,3,3,unk,unk,1,unk,1
2653,3,3,3,3,3,unk,unk,1,1,0
2657,3,3,3,3,3,unk,unk,1,1,0
2645,3,3,3,3,3,unk,unk,1,1,1
9674,unk,unk,unk,3,3,unk,unk,1,1,1
2663,3,3,3,3,3,unk,unk,1,1,0
9675,unk,unk,unk,3,3,unk,unk,1,1,1
2671,3,3,3,3,3,unk,unk,1,1,1
2654,3,3,3,3,3,unk,unk,1,1,1
2649,3,3,3,3,3,unk,unk,1,1,1
3170,3,606,3,3,3,unk,unk,1,2,0
2660,3,3,3,3,3,unk,unk,1,1,0
2667,3,3,3,3,3,unk,unk,1,1,0
8009,3,unk,3,3,3,unk,unk,1,2,1
2647,3,3,3,3,3,unk,unk,1,1,1
2658,3,3,3,3,3,unk,unk,1,1,0
2659,3,3,3,3,3,unk,unk,1,1,0
2669,3,3,3,3,3,unk,unk,1,1,0
2651,3,3,3,3,3,unk,unk,1,1,1
2650,3,3,3,3,3,unk,unk,1,1,1
2666,3,3,3,3,3,unk,unk,1,1,1
2646,3,3,3,3,3,unk,unk,1,1,1
2803,5,5,5,5,5,unk,unk,1,2,1
2852,5,5,5,5,5,unk,unk,1,1,1
2820,5,5,5,5,5,unk,unk,1,unk,0
2804,5,5,5,5,5,unk,unk,1,1,1
2849,5,5,5,5,5,unk,unk,1,2,0
2809,5,5,5,5,5,unk,unk,1,2,0
2853,5,5,5,5,5,unk,unk,1,1,0
2420,702,602,702,5,5,unk,unk,1,1,1
2811,5,5,5,5,5,unk,unk,1,1,0
2835,5,5,5,5,5,unk,unk,1,1,0
2818,5,5,5,5,5,unk,unk,1,1,1
8016,5,unk,5,5,5,unk,unk,1,1,0
2830,5,5,5,5,5,unk,unk,1,3,0
9613,unk,unk,unk,5,5,unk,unk,1,unk,0
2827,5,5,5,5,5,unk,unk,1,1,0
2843,5,5,5,5,5,unk,unk,1,unk,0
2834,5,5,5,5,5,unk,unk,1,2,0
2839,5,5,5,5,5,unk,unk,1,1,0
2815,5,5,5,5,5,unk,unk,1,1,0
2850,5,5,5,5,5,unk,unk,1,1,1
2813,5,5,5,5,5,unk,unk,1,1,1
2810,5,5,5,5,5,unk,unk,1,1,1
2808,5,5,5,5,5,unk,unk,1,1,0
2816,5,5,5,5,5,unk,unk,1,1,1
8012,5,unk,5,5,unk,unk,unk,1,unk,1
2802,5,5,5,5,5,unk,unk,1,unk,1
2851,5,5,5,5,5,unk,unk,1,1,0
2847,5,5,5,5,5,unk,unk,1,unk,0
2819,5,5,5,5,5,unk,unk,1,1,1
2842,5,5,5,5,5,unk,unk,1,unk,1
2832,5,5,5,5,5,unk,unk,1,1,0
2837,5,5,5,5,5,unk,unk,1,1,0
2821,5,5,5,5,5,unk,unk,1,1,1
2845,5,5,5,5,5,unk,unk,1,1,0
2841,5,5,5,5,5,unk,unk,1,1,0
2812,5,5,5,5,5,unk,unk,1,1,1
2828,5,5,5,5,5,unk,unk,1,1,1
2822,5,5,5,5,5,unk,unk,1,1,0
2840,5,5,5,5,5,unk,unk,1,1,1
2824,5,5,5,5,5,unk,unk,1,2,0
2807,5,5,5,5,5,unk,unk,1,1,0
2846,5,5,5,5,5,unk,unk,1,1,1
2838,5,5,5,5,5,unk,unk,1,1,0
2829,5,5,5,5,5,unk,unk,1,2,1
2831,702,5,702,5,5,unk,unk,1,2,1
2836,5,5,5,5,5,unk,unk,1,1,0
9004,unk,unk,5,5,5,unk,unk,1,1,0
2823,5,5,5,5,5,unk,unk,1,3,0
2805,5,5,5,5,5,unk,unk,1,1,0
2814,5,5,5,5,5,unk,unk,1,1,0
9506,unk,unk,unk,11,unk,unk,unk,2,unk,0
1365,710,710,11,11,11,914,unk,2,2,1
1757,914,809,914,11,11,unk,unk,3,4,0
2225,11,709,unk,11,11,914,914,2,4,1
9025,unk,unk,11,11,11,914,unk,1,2,0
1909,809,709,809,11,11,unk,unk,2,unk,0
8111,810,unk,810,11,unk,unk,unk,2,2,0
937,914,810,11,11,11,unk,unk,3,2,0
2738,unk,11,unk,11,unk,unk,unk,1,2,0
2128,914,809,unk,11,11,unk,unk,3,2,0
849,810,710,810,11,unk,unk,unk,2,2,1
1373,810,810,11,11,unk,unk,unk,3,2,1
8224,809,unk,11,11,11,914,unk,2,4,0
2743,11,11,unk,11,914,914,unk,3,2,0
990,810,710,11,11,unk,unk,unk,2,2,1
792,914,810,914,11,unk,unk,unk,3,2,1
8217,809,unk,809,11,unk,914,unk,2,1,0
2162,709,609,709,11,11,914,unk,1,1,0
2064,914,809,914,11,11,914,unk,3,2,1
2149,914,809,914,11,914,unk,unk,3,1,1
6222,918,808,918,12,12,unk,unk,3,2,0
9639,unk,unk,unk,12,unk,unk,unk,3,unk,1
6241,918,808,918,12,unk,unk,unk,3,1,1
8003,12,unk,12,12,12,unk,12,1,2,0
6430,918,808,918,12,12,12,12,3,2,0
6422,918,808,12,12,12,12,12,3,2,0
6479,918,808,918,12,12,12,12,3,2,0
5372,919,807,919,12,12,12,12,3,2,0
8619,919,unk,919,12,12,12,unk,3,unk,0
8589,918,unk,918,12,unk,unk,unk,3,unk,0
8621,919,unk,919,12,12,12,unk,3,2,0
6286,918,808,918,12,unk,unk,unk,3,2,0
5435,918,807,918,12,12,unk,unk,3,unk,0
8576,918,unk,918,12,12,12,unk,3,2,1
5540,919,807,919,12,12,12,12,3,2,0
5454,919,807,919,12,12,12,unk,3,2,0
5388,919,807,919,12,12,unk,12,3,2,0
5364,919,807,919,12,12,12,12,3,2,1
9080,unk,unk,12,12,unk,unk,unk,3,unk,1
4788,707,607,707,12,unk,12,12,1,2,0
8618,919,unk,919,12,unk,unk,unk,3,unk,0
6520,918,808,918,12,12,unk,unk,3,unk,0
6619,unk,12,unk,12,unk,unk,unk,2,2,0
9335,unk,unk,unk,12,unk,unk,unk,2,unk,1
6496,918,808,918,12,12,12,unk,3,3,1
5411,919,807,919,12,unk,unk,unk,3,2,0
8563,918,unk,918,12,unk,unk,unk,3,unk,0
2734,919,12,919,12,12,12,12,3,2,0
6213,918,808,918,12,12,12,unk,3,3,0
8732,808,unk,unk,12,unk,unk,unk,2,unk,0
8687,919,unk,919,12,unk,unk,unk,3,2,0
8545,918,unk,918,12,12,unk,unk,3,4,0
5425,918,807,918,12,12,12,12,3,2,0
5339,919,807,919,12,12,unk,unk,3,2,0
8558,918,unk,12,12,unk,unk,unk,3,unk,0
6227,918,808,918,12,unk,unk,unk,3,1,1
6244,919,808,919,12,12,12,unk,3,2,1
5606,919,807,919,12,unk,unk,unk,3,2,0
5601,919,807,919,12,unk,unk,unk,3,3,0
9337,unk,unk,unk,12,12,12,unk,3,2,0
8522,918,unk,918,12,unk,unk,unk,3,unk,0
5467,919,807,919,12,12,12,unk,3,2,1
8651,919,unk,919,12,12,unk,unk,3,unk,0
9343,unk,unk,unk,12,12,unk,unk,3,unk,0
9620,unk,unk,unk,12,unk,12,unk,2,unk,0
8623,919,unk,919,12,unk,unk,unk,3,unk,1
5635,919,807,919,12,unk,unk,unk,3,unk,0
9342,unk,unk,unk,12,unk,unk,unk,2,unk,0
6473,918,808,918,12,12,12,unk,3,2,0
5344,919,807,919,12,12,12,12,3,2,1
8553,918,unk,918,12,12,12,unk,3,3,1
6190,918,708,918,12,12,12,12,2,1,0
8699,919,unk,919,12,unk,unk,unk,3,unk,1
8632,919,unk,919,12,12,unk,unk,3,unk,1
6441,918,808,918,12,12,12,unk,3,2,1
8671,919,unk,919,12,12,unk,unk,3,unk,0
9618,unk,unk,unk,12,12,unk,unk,3,2,1
6245,918,808,918,12,12,12,12,3,2,0
6421,918,808,918,12,12,12,unk,3,4,0
8578,918,unk,918,12,unk,unk,unk,3,unk,0
8761,919,unk,919,12,unk,unk,unk,3,2,1
