source,target,connection
2664,2654,c1f
2664,2659,c1f
2664,2712,c1f
2664,2654,c2f
2664,2659,c2f
2664,2656,c2f
2664,2647,c2f
2664,2651,c3f
2664,2654,c3f
2664,2659,c3f
2664,2651,c4f
2664,8008,c4b
2664,8009,c4f
2664,2668,c4b
2664,2660,c4b
2664,2662,c4b
2664,2671,c4b
2664,8008,c5b
2664,2655,c5f
2664,2673,c5b
2664,2668,c5b
2664,2660,c5b
2664,2648,c5b
2674,2668,c1f
2674,2672,c1f
2674,2658,c1f
2674,2677,c1f
2674,2660,c1f
2674,2668,c2f
2674,2672,c2f
2674,2658,c2f
2674,2661,c2f
2674,2682,c2f
2674,2682,c3f
2674,2686,c3f
2674,2672,c3f
2674,2658,c3f
2674,8008,c4f
2674,2672,c5f
2652,2673,c1f
2652,2656,c1f
2652,2651,c1f
2652,2659,c2f
2652,2656,c2f
2652,2680,c2f
2652,2654,c2f
2652,2656,c3f
2652,2659,c3f
2652,2651,c3f
2652,2654,c3f
2673,2652,c1f
2673,2672,c2f
2673,2667,c2f
2673,2663,c2f
2673,3170,c2f
2673,2696,c2f
2673,2672,c3f
2673,2663,c3f
2673,2668,c3f
2673,2661,c3f
2673,2667,c3f
2673,2663,c4f
2673,2672,c4f
2673,2667,c4f
2673,2661,c5f
2673,2663,c5f
2673,2668,c5f
2673,2672,c5f
2673,2657,c5f
2655,2659,c1f
2655,2656,c1f
2655,2650,c1f
2655,2656,c2f
2655,2656,c3f
2655,2680,c3f
2655,2651,c3f
2655,8008,c3f
2655,2701,c3f
2655,2656,c4f
2655,2646,c4b
2655,2666,c4b
2655,2664,c5f
2655,2656,c5f
2668,2661,c1f
2668,2674,c1f
2668,2672,c1f
2668,2658,c1f
2668,2657,c1f
2668,2661,c2f
2668,2674,c2f
2668,2672,c2f
2668,2658,c2f
2668,8008,c2f
2668,2658,c3f
2668,2672,c3f
2668,2661,c3f
2668,2657,c3f
2668,2663,c3f
2668,2661,c4f
2668,2658,c4f
2668,2672,c4f
2668,2663,c4f
2668,2657,c4f
2668,2661,c5f
2668,2673,c5f
2668,2672,c5f
2668,2658,c5f
2668,3089,c5f
2648,2649,c1f
2648,2670,c1f
2648,2666,c1f
2648,2650,c1f
2648,2651,c1f
2648,2685,c2f
2648,2691,c2f
2648,2683,c2f
2648,8010,c2f
2648,2651,c2f
2648,2654,c3f
2648,2691,c3f
2648,2666,c4f
2648,2670,c4f
2648,2651,c4f
2648,2654,c5f
2648,2666,c5f
2648,2670,c5f
2648,2667,c5f
2661,2668,c1f
2661,2672,c1f
2661,2668,c2f
2661,2674,c2f
2661,2657,c2f
2661,8008,c2f
2661,2658,c2f
2661,2668,c3f
2661,8011,c3f
2661,8008,c3f
2661,2657,c3f
2661,2673,c4f
2661,2663,c4f
2661,2658,c4f
2661,2657,c4f
2661,8008,c4f
2661,2673,c5f
2661,2668,c5f
2661,2658,c5f
2661,3170,c5f
2672,2658,c1f
2672,2668,c1f
2672,2674,c1f
2672,2661,c1f
2672,2658,c2f
2672,2668,c2f
2672,2674,c2f
2672,2661,c2f
2672,2673,c2f
2672,2658,c3f
2672,2668,c3f
2672,2674,c3f
2672,2661,c3f
2672,2658,c4f
2672,2668,c4f
2672,2661,c4f
2672,3170,c4f
2672,2658,c5f
2672,2668,c5f
2672,9675,c5f
2672,2661,c5f
2672,3170,c5f
2662,2667,c1f
2662,2663,c1f
2662,2695,c1f
2662,8008,c2f
2662,2663,c2f
2662,8008,c3f
2662,2667,c3f
2662,8011,c3f
2662,2663,c3f
2662,2667,c4f
2662,8008,c4f
2662,2663,c4f
2662,3170,c4f
2662,8008,c5f
2662,2664,c5v
2662,2667,c5f
2662,2652,c5v
2662,3170,c5f
2662,2663,c5f
2670,2666,c1f
2670,2671,c1f
2670,2666,c2f
2670,2665,c2f
2670,2683,c2f
2670,8010,c2f
2670,2646,c2f
2670,2666,c3f
2670,2665,c3f
2670,8010,c3f
2670,2646,c3f
2670,2650,c3f
2670,2665,c4f
2670,2657,c4b
2670,2646,c4v
2670,8008,c4b
2670,9674,c4v
2670,2648,c4f
2670,2661,c4b
2670,2671,c4v
2670,2666,c4f
2670,2667,c4b
2670,2650,c4f
2670,2666,c5f
2670,8008,c5b
2670,2665,c5f
2670,2673,c5b
2670,9675,c5f
2670,2667,c5f
2656,2654,c1f
2656,2652,c1f
2656,2651,c1f
2656,2655,c1f
2656,2655,c2f
2656,2654,c2f
2656,2651,c2f
2656,2652,c2f
2656,8009,c2f
2656,2655,c3f
2656,2652,c3f
2656,2654,c3f
2656,2651,c3f
2656,2655,c4f
2656,2646,c4b
2656,2652,c4f
2656,2654,c4f
2656,2651,c4f
2656,2654,c5f
2656,2652,c5f
2656,2648,c5f
3089,3102,c1f
3089,3091,c1f
3089,3170,c2f
3089,3170,c3f
3089,2663,c3f
3089,2657,c4b
3089,2669,c4v
3089,2673,c4f
3089,2663,c4f
3089,3170,c4f
3089,3170,c5f
3089,2662,c5f
3089,2673,c5f
2665,2671,c1f
2653,2669,c1f
2653,2658,c1f
2653,2659,c1f
2653,2669,c2f
2653,2658,c2f
2653,2674,c2f
2653,2659,c2f
2653,2669,c3f
2653,2658,c3f
2653,2659,c3f
2653,2674,c3f
2653,2674,c4f
2653,2674,c5f
2653,2658,c5f
2653,2659,c5f
2657,2668,c1f
2657,2661,c1f
2657,2660,c1f
2657,2658,c1f
2657,2667,c1f
2657,2660,c2f
2657,2661,c2f
2657,2668,c2f
2657,2673,c2f
2657,2661,c3f
2657,2658,c3f
2657,2674,c3f
2657,2672,c3f
2657,2658,c4f
2657,2668,c4f
2657,2672,c4f
2657,2661,c4f
2657,2661,c5f
2657,2658,c5f
2657,2672,c5f
2657,2668,c5f
2657,2663,c5f
2645,2649,c1f
2645,2666,c1f
2645,2650,c1f
2645,2675,c1f
2645,2649,c2f
2645,2647,c2f
2645,2650,c2f
2645,2646,c2f
2645,2675,c2f
2645,2647,c3f
2645,2649,c3f
2645,2671,c3f
2645,2675,c3f
2645,2647,c4f
2645,8008,c4b
2645,2671,c4f
2645,2646,c4b
2645,2649,c4f
2645,2669,c4b
2645,2673,c4b
2645,2663,c4b
9674,2673,c4v
9674,2646,c4b
2663,2667,c1f
2663,2662,c1f
2663,2662,c2f
2663,2678,c2f
2663,2673,c3f
2663,2674,c3f
2663,2662,c3f
2663,2668,c3f
9675,2666,c4f
9675,2670,c4f
9675,2671,c4f
9675,9674,c4f
9675,2672,c5f
9675,2673,c5b
9675,2666,c5f
9675,2670,c5f
9675,2646,c5f
9675,2650,c5f
2671,2670,c1f
2671,2665,c1f
2671,2646,c1f
2671,2646,c2f
2671,2649,c2f
2671,2666,c2f
2671,2670,c2f
2671,8010,c2f
2671,2649,c3f
2671,2645,c3f
2671,2646,c3f
2671,2670,c3f
2671,2646,c4b
2671,2646,c4v
2671,2649,c4f
2671,2645,c4f
2671,9674,c4f
2671,2647,c4f
2671,2647,c5f
2671,2646,c5b
2671,2651,c5v
2671,2645,c5f
2671,2649,c5b
2671,2649,c5v
2671,2649,c5f
2671,2665,c5f
