source,target,con_type,con_year
2569,2539,f,c2
628,188,b,c4
754,985,f,c1
7251,6361,f,c2
693,485,f,c4
359,509,f,c1
2038,1879,f,c6
5397,5430,f,c7
4379,4282,f,c1
799,1319,f,c2
1112,1119,f,c1
2907,8062,f,c5
2170,1736,f,c1
5089,5371,b,c7
756,1404,f,c5
4996,8097,f,c6
552,532,f,c4
2821,2819,f,c3
2956,2949,f,c4
5104,5282,f,c4
1629,1630,f,c1
5303,9595,b,c5
7224,10159,f,c7
3006,3009,f,c3
4930,4979,f,c3
3318,3153,f,c2
974,806,f,c3
2139,1318,f,c3
4365,4216,f,c2
3029,3014,f,c4
8098,3193,f,c4
3602,3681,f,c1
4789,4871,f,c4
9041,6361,f,c4
5066,5206,f,c3
8072,4954,f,c3
2208,2048,f,c1
7438,7440,v,c4
5597,8617,v,c6
1978,1985,f,c1
2680,2685,f,c4
4794,4692,f,c6
9629,3884,f,c4
6115,7122,f,c5
2727,2728,f,c3
7364,7360,f,c5
1438,1353,f,c7
3146,3134,f,c4
993,991,f,c3
493,395,f,c5
1718,844,f,c5
897,1829,f,c6
325,630,b,c5
9319,9316,f,c5
5072,5468,f,c5
5227,5224,f,c1
2021,1819,f,c6
683,404,f,c1
2120,1243,f,c7
1875,2183,f,c4
7161,6324,f,c1
9455,119,f,c4
1230,1769,f,c3
5032,9580,f,c4
2184,1354,b,c6
5551,5405,b,c6
3209,3102,f,c3
7332,6261,f,c2
6470,5241,f,c6
3359,676,f,c3
4266,4552,f,c5
297,74,f,c2
6249,8592,f,c3
2942,3181,f,c4
4791,4698,f,c5
7439,7431,f,c5
6139,6145,f,c3
4966,4761,f,c5
2589,2498,f,c4
5101,5031,f,c4
635,486,f,c1
4476,4484,f,c1
5373,5498,f,c3
655,486,f,c1
984,970,f,c5
3498,3486,f,c1
3763,3763,f,c5
7182,6146,f,c1
4964,4820,f,c3
4289,4281,f,c2
3873,3985,f,c2
6399,6418,f,c2
4542,4503,f,c3
570,582,f,c2
3470,3431,f,c4
6640,7115,f,c1
3565,3664,f,c1
7404,6102,f,c1
8711,7250,f,c5
2202,2201,f,c2
3420,3413,f,c2
2447,2433,b,c4
930,914,f,c1
4256,4259,f,c2
2057,2116,f,c5
1038,1112,f,c2
793,875,f,c6
6480,6485,f,c2
5351,5587,f,c5
2577,2718,f,c5
2465,2524,f,c2
4335,4357,f,c3
3630,3522,f,c4
357,4114,f,c4
1051,962,f,c1
4087,4103,f,c2
2849,2816,f,c5
3081,3242,f,c3
1717,1720,f,c7
2439,2444,f,c1
1390,1462,f,c4
1339,1200,f,c1
912,1442,f,c2
3174,3128,f,c1
1052,2153,f,c6
9110,962,f,c4
3488,3490,f,c5
4722,4961,f,c4
3038,3057,f,c3
4258,4296,f,c1
7131,7135,f,c3
4750,4768,f,c3
145,528,f,c2
4978,4829,f,c2
6101,9404,f,c5
3998,4095,f,c1
4395,4550,f,c1
1699,2009,f,c3
2671,2649,f,c5
91,446,f,c1
5428,6110,f,c7
6068,6199,f,c3
1223,1214,f,c2
3646,3563,f,c2
5485,5483,f,c2
2249,2238,f,c1
6418,7446,f,c4
7315,6248,f,c6
9537,9514,b,c6
2997,2994,f,c2
5405,5551,f,c5
7247,6148,f,c4
2146,1929,f,c2
3613,3636,f,c1
2583,2556,f,c4
5430,5439,f,c4
4025,3869,f,c1
6310,7285,f,c2
68,118,f,c3
5285,4687,f,c4
4539,4528,f,c3
2497,2506,f,c3
3294,3411,f,c1
1276,1251,f,c1
3884,3937,b,c4
514,311,f,c4
4571,158,f,c5
1954,1228,f,c4
5223,5442,f,c7
431,4252,f,c2
1830,1442,f,c5
1198,1411,f,c5
2035,1251,f,c2
2186,1510,v,c4
2831,2829,f,c1
2813,2839,f,c1
1975,1983,f,c1
7208,7216,f,c1
4501,3616,f,c3
8503,4600,f,c2
1135,1146,f,c4
5512,5543,f,c1
496,492,f,c1
1697,1896,f,c1
9911,4936,f,c6
4747,7543,f,c2
3054,2944,f,c5
4552,561,f,c3
818,1413,f,c3
4721,4716,f,c2
8759,6178,f,c2
5587,5496,f,c2
167,163,f,c2
3385,3415,f,c2
4718,4797,f,c2
1649,1318,f,c2
1312,837,f,c6
1900,1682,f,c3
5295,5308,f,c5
3538,3517,f,c3
5394,6223,f,c6
6142,6149,f,c4
3144,3053,f,c3
97,215,f,c2
1918,1838,f,c4
2980,2962,f,c3
866,865,f,c3
313,531,f,c3
1747,2214,f,c4
289,649,f,c4
3606,3762,f,c2
1307,792,f,c1
1704,1631,f,c3
2017,2180,f,c3
595,369,f,c2
6063,6386,f,c2
4721,4833,f,c4
4812,4978,f,c2
112,403,f,c1
1956,9484,f,c5
1705,1653,f,c2
478,407,f,c1
4463,4455,f,c1
4133,4146,f,c5
8231,2193,f,c3
9078,6332,f,c4
1290,1486,f,c2
1489,988,f,c2
5064,5608,f,c6
485,58,f,c3
3573,9225,f,c5
1688,942,f,c4
5259,5302,f,c3
810,1117,f,c5
2375,2399,f,c5
6074,6480,f,c6
3965,3942,f,c2
6375,6205,f,c5
5231,5066,f,c1
7199,7187,f,c6
3213,3210,f,c5
3060,3129,f,c5
5303,9595,f,c6
3905,3951,f,c3
4886,4770,f,c3
311,199,f,c1
9810,9581,f,c7
3652,3528,f,c1
5203,6493,v,c6
4518,8472,f,c2
419,215,f,c2
1732,1793,f,c1
8374,3894,f,c5
9147,9171,f,c4
9078,6391,f,c3
2695,2684,f,c4
2131,1622,f,c2
2416,2427,f,c3
351,351,f,c4
3846,3849,v,c4
5245,5108,f,c1
5308,5132,f,c2
1198,900,f,c3
3952,3945,f,c1
5080,5301,f,c2
6187,6462,f,c2
582,570,f,c3
4786,4773,f,c2
3243,3264,f,c3
1830,834,f,c6
2706,8355,f,c2
1223,1481,f,c6
7258,7185,f,c6
1489,1141,f,c5
3408,3454,f,c4
768,8104,f,c7
3227,3105,f,c5
7214,7215,f,c1
166,4552,f,c3
587,530,f,c4
1474,894,f,c2
4807,4813,b,c4
3910,3983,f,c5
1452,942,f,c1
5254,5257,f,c3
1946,1977,f,c4
7178,6169,f,c1
4977,4714,f,c7
1509,1608,f,c4
3747,3581,f,c4
1423,832,b,c5
2900,2520,f,c2
3334,3456,f,c2
5469,5549,f,c3
4091,8400,f,c3
3207,3021,f,c2
1718,8770,f,c5
225,4660,f,c4
3096,2989,f,c4
3952,3843,b,c4
3388,3368,f,c1
7108,5695,v,c5
6498,6379,f,c2
886,1056,f,c1
15,279,f,c5
5067,5203,f,c5
4056,4068,f,c1
9187,4339,f,c5
902,881,f,c1
82,297,f,c2
7189,6431,f,c1
8099,661,f,c3
9709,9942,f,c6
3975,3951,f,c2
7344,7237,f,c3
6132,6133,f,c2
2450,2457,b,c4
5305,5515,f,c5
2592,2588,f,c1
865,1466,f,c1
5195,7245,f,c5
4980,7149,f,c7
1403,1126,f,c4
4526,4225,f,c4
1451,790,f,c7
9934,6477,f,c7
2509,2480,f,c1
4233,4247,f,c2
1931,1934,f,c1
2213,2216,f,c1
3611,3604,f,c4
2981,3178,f,c4
3870,3961,f,c2
3936,8375,f,c4
1459,8206,f,c2
9932,5453,f,c6
4831,4693,f,c6
4323,4276,f,c1
5612,5380,f,c1
1591,1911,f,c5
423,446,f,c1
1111,1330,f,c3
3438,3483,f,c5
6061,6323,f,c4
2212,1841,f,c4
5468,5072,f,c6
947,1384,f,c2
1229,948,f,c3
2153,2220,f,c3
2543,8343,f,c2
1293,1672,f,c5
9109,8249,f,c4
9000,6067,f,c3
4772,4886,v,c4
51,336,b,c4
2086,1740,f,c3
1378,1232,f,c1
3601,3662,f,c3
8568,6522,f,c2
4979,9285,f,c4
4859,4835,b,c5
2186,768,b,c6
1494,1500,f,c6
2377,2394,v,c5
3616,3684,f,c2
8368,3870,f,c2
732,1043,f,c3
2216,2000,f,c5
314,306,f,c1
5185,5184,f,c3
3352,3391,f,c1
1180,939,f,c4
2598,2603,f,c2
7435,9305,f,c7
2645,2675,f,c3
1304,1393,f,c2
1017,1650,f,c6
5394,6494,f,c2
6471,7115,f,c3
4804,4747,f,c4
3426,3392,f,c1
1071,1212,f,c1
148,127,f,c2
243,570,f,c2
6506,7207,f,c4
9948,5035,f,c6
708,3170,f,c1
907,9435,b,c4
4687,4689,f,c3
6487,8725,f,c7
3074,3234,f,c2
9672,708,b,c4
5310,5132,f,c6
3064,3242,f,c3
6466,6152,f,c5
1354,1213,f,c3
846,8140,v,c4
7238,6148,f,c3
2772,2543,f,c4
7339,6402,b,c4
2159,8229,f,c3
4876,4882,f,c1
3352,3381,f,c2
771,2234,f,c4
9527,1601,f,c5
1615,1520,f,c2
4366,76,f,c5
4,8259,f,c4
301,4342,f,c4
9472,1992,f,c4
2090,2045,f,c3
2039,1782,f,c2
3851,4044,f,c3
641,469,f,c5
2775,2498,f,c4
1301,1382,f,c3
6382,6381,f,c2
4026,3955,f,c4
2786,2538,f,c3
4119,4165,f,c4
1970,1962,f,c5
2723,2716,f,c1
3392,3403,f,c4
2871,2882,f,c5
7409,7355,f,c5
962,1051,f,c2
3938,4014,f,c2
6179,7288,f,c5
2368,2381,f,c3
8753,5700,f,c4
4062,4080,f,c3
9277,9074,f,c5
5469,5589,f,c2
6212,7184,f,c5
4701,4780,b,c4
4105,8398,f,c3
4817,4961,f,c3
3730,3708,f,c5
8138,1964,f,c7
1629,1622,v,c5
2025,9099,f,c4
1335,1337,f,c1
6470,6149,f,c4
6200,7247,f,c7
5249,5179,f,c4
1782,2106,f,c3
8061,2455,b,c4
8357,8348,f,c2
6283,7253,f,c6
6635,6066,b,c5
7766,3314,f,c3
1074,852,f,c4
4282,4294,f,c1
2030,767,b,c4
3726,3606,v,c5
1179,1991,f,c7
2167,1797,f,c2
499,117,b,c4
8636,5401,f,c4
3531,3739,f,c3
4302,4303,f,c3
8463,615,f,c5
795,1462,f,c4
246,40,f,c1
2067,1621,f,c4
4081,4007,f,c1
2206,1754,f,c7
2336,8219,b,c5
831,754,f,c1
3308,3304,f,c2
7189,6431,f,c3
2095,1437,b,c5
5062,5515,f,c5
3615,3621,f,c5
1969,1641,f,c3
7375,7354,f,c2
4876,4964,b,c6
7435,6226,f,c3
4078,4069,f,c2
6451,6446,f,c1
3027,2976,f,c4
6059,6570,f,c1
5076,5209,f,c2
8141,1205,b,c5
2359,1479,f,c3
1806,1798,f,c5
7175,7287,f,c1
2044,2224,f,c2
5027,5275,f,c5
352,199,f,c3
4410,4484,f,c3
8681,8668,f,c2
3259,8251,b,c5
2890,2469,f,c5
3071,2978,f,c1
6160,7237,f,c6
2374,2366,f,c1
1025,1102,f,c4
2178,1871,f,c5
2695,2702,f,c1
9723,7441,f,c7
10013,1306,f,c7
354,528,f,c1
1062,1210,f,c5
8084,9709,f,c7
5037,5275,f,c3
4269,4167,f,c4
8043,139,f,c2
5287,5488,f,c6
2455,2448,f,c1
5440,8665,f,c2
3515,9010,f,c4
7149,8661,f,c7
4902,4763,f,c6
2443,2452,f,c5
9602,3010,f,c4
9091,3188,f,c3
3351,3336,f,c2
807,823,f,c4
8219,1749,b,c5
3574,3693,f,c1
2530,2685,f,c5
7198,6465,f,c5
282,469,f,c5
1995,2043,f,c3
593,605,v,c5
2968,3226,v,c4
5434,5427,f,c1
1800,1859,f,c3
357,346,f,c1
3082,2968,f,c3
9755,870,f,c6
972,1037,f,c5
4436,4426,f,c2
5351,9576,f,c6
7178,7376,f,c2
1227,1225,f,c7
3020,3014,f,c2
6471,6264,b,c5
84,4243,f,c4
7444,7266,f,c7
3347,3357,f,c3
1795,2088,f,c2
5189,5100,f,c6
382,462,f,c1
533,9148,v,c5
2515,2463,f,c3
1203,1197,f,c2
2794,2792,f,c1
4910,4745,f,c3
1000,1482,v,c5
9609,2946,b,c4
5146,8081,f,c3
252,7726,f,c3
475,493,f,c1
8375,3852,f,c3
3435,3438,f,c2
6146,6139,b,c4
2020,1968,f,c4
3174,2973,f,c2
2969,3127,f,c3
6372,6466,b,c7
4155,4223,b,c5
2551,2552,f,c5
4886,4757,f,c4
3171,3147,f,c5
2231,2247,f,c1
2956,2949,f,c2
2136,1770,f,c5
57,330,f,c2
7625,5096,f,c1
295,305,f,c2
1737,2095,f,c1
1346,983,f,c3
768,8104,f,c6
1940,1964,f,c1
184,8046,f,c3
5450,5447,f,c1
2903,2879,f,c3
3075,3233,f,c1
6330,6623,f,c2
3194,3076,f,c3
7192,6251,b,c6
40,4413,f,c5
4509,8431,b,c4
277,8045,f,c2
7220,6362,f,c6
1949,1971,f,c3
4165,4180,f,c1
6137,7413,f,c5
4305,4303,f,c1
528,542,f,c2
4879,4888,f,c6
